n,bins
4.2561685715149174e-05,15.0
4.2561685715149174e-05,15.045
0.0,15.09
8.512337143029835e-05,15.135
8.512337143029835e-05,15.18
0.00025537011429089504,15.225
0.0001702467428605967,15.27
8.512337143029835e-05,15.315
0.0001702467428605967,15.36
0.00025537011429089504,15.405
8.512337143029835e-05,15.45
0.0003830551714363426,15.495
0.00038305517143632747,15.54
0.00025537011429089504,15.585
0.00012768505714544752,15.63
0.0005107402285817901,15.675
0.00029793180000604424,15.72
0.00042561685715149174,15.765
0.00021280842857574587,15.81
0.0005107402285817901,15.855
0.00021280842857574587,15.9
0.0006384252857272376,15.945
0.0005107402285817901,15.99
0.0006809869714424137,16.035
0.000595863600012065,16.08
0.0008512337143029499,16.125
0.0008086720285878663,16.17
0.0010640421428786875,16.215
0.0009363570857333188,16.26
0.0014896590000301622,16.305
0.0016173440571757326,16.35
0.0011066038285938349,16.395
0.0019152758571817886,16.44
0.0017024674286058997,16.485
0.0015747823714605815,16.53
0.0022132076571876698,16.575
0.002340892714333297,16.62
0.0029793180000603245,16.665
0.0028090712571999564,16.71
0.004043360142939012,16.755
0.0039156750857938785,16.8
0.0037454283429329796,16.845
0.003702866657218124,16.89
0.004681785428666225,16.935
0.004852032171527197,16.98
0.006426814542987272,17.025
0.007278048257290796,17.07
0.007448295000150811,17.115
0.007278048257290796,17.16
0.008427213771599204,17.205
0.0085123371430295,17.25
0.010257366257351358,17.295
0.009576379285908944,17.34
0.011406531771659529,17.384999999999998
0.012215203800247331,17.43
0.01438584977172099,17.475
0.016599057428907524,17.52
0.016216002257472474,17.565
0.01987630722897388,17.61
0.018684580028951226,17.655
0.021876706457585812,17.7
0.0222597616290239,17.745
0.026601053571967185,17.79
0.032729936314951004,17.835
0.03319811485781505,17.88
0.035836939372157026,17.925
0.04192326042942029,17.97
0.04426415314375689,18.015
0.04877569182955903,18.06
0.05273392860107191,18.105
0.05843719448689751,18.15
0.05830950942975667,18.195
0.06622598297276949,18.24
0.07035446648714437,18.285
0.07558955383010195,18.33
0.08397420591598602,18.375
0.08640022200175625,18.42
0.09227373463044705,18.465
0.09933897445915425,18.509999999999998
0.1061062824878627,18.555
0.11836404797383454,18.6
0.12955777131690896,18.645
0.1341544333741555,18.69
0.14019819274569584,18.735
0.15347743868883398,18.78
0.16790585014625686,18.825
0.17369423940353065,18.87
0.18812265086095192,18.915
0.2017849519755302,18.96
0.21085059103284068,19.005
0.2258748660903056,19.05
0.221320765718767,19.095
0.20144445848980902,19.14
0.17735454437501963,19.185
0.17637562560358516,19.23
0.17416241794638357,19.275
0.17790784628931652,19.32
0.18582431983234865,19.365000000000002
0.19301724471820914,19.41
0.2042109680612777,19.455
0.2143406492614828,19.5
0.22242736954737838,19.545
0.2346000116619115,19.59
0.24166525149060747,19.634999999999998
0.25528499091945467,19.68
0.2665212759482746,19.725
0.27767243760564414,19.77
0.28665295329151835,19.814999999999998
0.2905260666915968,19.86
0.31176434786348006,19.905
0.3158928313778247,19.95
0.3251287171780374,19.995
0.3389612650354346,20.04
0.3404083623497765,20.085
0.3420682680926404,20.13
0.34245132326410377,20.175
0.33972737537830733,20.22
0.34636699834989765,20.265
0.34313231023551916,20.31
0.35428347189291576,20.355
0.35670948797865115,20.4
0.36015698452157807,20.445
0.36794577300747916,20.490000000000002
0.3714358312361215,20.535
0.3694779936931954,20.58
0.38024610017912774,20.625
0.37773496072196383,20.67
0.3762878634076487,20.715
0.37990560669340656,20.759999999999998
0.3864175446078241,20.805
0.37816057757911536,20.85
0.3763304250933639,20.895
0.38037378523627313,20.939999999999998
0.37390440900757077,20.985
0.37101021437897,21.03
0.36449827646452315,21.075
0.3525810044643097,21.12
0.3510913454642517,21.165
0.34334511866412193,21.21
0.33504558994964106,21.255
0.32219196086369195,21.3
0.317127120263564,21.345
0.3077209877205407,21.39
0.2971656896631598,21.435
0.2906963134344803,21.48
0.2737142008341135,21.525
0.26443575334823227,21.57
0.2512416307765157,21.615
0.2291521158903722,21.66
0.21012704237568317,21.705
0.1945494654039392,21.75
0.17118309994633674,21.795
0.15577576971745213,21.84
0.13432468011700552,21.884999999999998
0.10678726945930507,21.93
0.09329521508761067,21.975
0.07286560594433827,22.02
0.060778087201230624,22.064999999999998
0.0459666205723593,22.11
0.035241075772144914,22.155
0.02574981985766423,22.2
0.020259362400411807,22.245
0.015790385400319722,22.29
0.010682983114502864,22.335
0.007959035228732583,22.38
0.006426814542987779,22.425
0.003958236771508717,22.47
0.002894194628630258,22.515
0.00119172720002413,22.56
0.001447097314315129,22.605
0.0013619739428847198,22.65
0.0010640421428787714,22.695
0.0007235486571575074,22.74
0.0004256168571515086,22.785
0.0005533019142969174,22.83
0.00025537011429088496,22.875
0.0002553701142909051,22.92
0.0002553701142909051,22.965
0.00021280842857573747,23.009999999999998
0.00017024674286058997,23.055
8.512337143030171e-05,23.1
8.512337143030171e-05,23.145
8.512337143029499e-05,23.189999999999998
4.256168571514749e-05,23.235
8.512337143030171e-05,23.28
0.0,23.325
4.256168571514749e-05,23.369999999999997
0.00012768505714544248,23.415
0.0,23.46
0.00012768505714545256,23.505
4.256168571514749e-05,23.549999999999997
0.0,23.595
0.0,23.64
4.2561685715150854e-05,23.685000000000002
4.2561685715150854e-05,23.73
4.256168571514749e-05,23.775
0.0,23.82
0.0,23.865000000000002
4.2561685715150854e-05,23.91
4.256168571514749e-05,23.955
0.0,24.0
